customer_id,first_name,last_name,email_address,mobile_number,birthday,age,delivery_address,city,province,postal_code,account_status,date_registered,created_by
90049,Ivan,Ang,ivan.ang49@gmail.com,9171234549,12/12/1992,33,44 Roxas Blvd.,Manila,Metro Manila,1005,Active,4/5/2025,
90050,Jade,Lim,jade.lim50@gmail.com,9171234550,8/8/2001,24,66 Katipunan Ave.,Quezon City,Metro Manila,1107,Active,4/8/2025,
90051,Kyle,Tan,kyle.tan51@gmail.com,9171234551,4/4/1995,29,19 Boni Ave.,Mandaluyong,Metro Manila,1553,Active,4/10/2025,
90052,Lara,Ong,lara.ong52@gmail.com,9171234552,10/30/1998,26,87 EDSA,Pasig,Metro Manila,1605,Inactive,4/12/2025,
90053,Miguel,Yu,miguel.yu53@gmail.com,9171234553,6/6/1990,35,12 Commonwealth Ave.,Quezon City,Metro Manila,1108,Active,4/15/2025,
90054,Nina,Co,nina.co54@gmail.com,9171234554,3/27/1997,28,45 Alabang Rd.,Muntinlupa,Metro Manila,1780,Active,4/18/2025,
90055,Owen,Chua,owen.chua55@gmail.com,9171234555,9/9/1994,31,23 Marcos Hwy.,Antipolo,Rizal,1871,Suspended,4/20/2025,
90056,Pia,Sy,pia.sy56@gmail.com,9171234556,1/15/2000,25,67 Ortigas Ext.,Cainta,Rizal,1901,Active,4/22/2025,
90057,Quinn,Go,quinn.go57@gmail.com,9171234557,7/7/1993,31,90 Felix Ave.,Taytay,Rizal,1921,Active,4/25/2025,
90058,Rhea,Ang,rhea.ang58@gmail.com,9171234558,2/2/1996,29,34 Gen. Ordonez,Marikina,Metro Manila,1802,Inactive,4/28/2025,
90059,Sean,Lim,sean.lim59@gmail.com,9171234559,5/5/1992,32,78 McArthur Hwy.,Valenzuela,Metro Manila,1442,Active,5/1/2025,
90060,Tina,Tan,tina.tan60@gmail.com,9171234560,11/11/1999,25,21 Samson Rd.,Caloocan,Metro Manila,1402,Active,5/3/2025,
90061,Ulysses,Ong,ulysses.ong61@gmail.com,9171234561,8/18/1991,34,45 P. Guevarra,San Juan,Metro Manila,1502,Active,5/5/2025,
90062,Vanessa,Yu,vanessa.yu62@gmail.com,9171234562,12/24/1997,28,67 Shaw Blvd.,Mandaluyong,Metro Manila,1554,Inactive,5/8/2025,
90063,Warren,Co,warren.co63@gmail.com,9171234563,1/30/1994,31,89 Pioneer St.,Pasig,Metro Manila,1606,Active,5/10/2025,
90064,Xandra,Chua,xandra.chua64@gmail.com,9171234564,6/6/2001,24,23 Taft Ave.,Manila,Metro Manila,1006,Active,5/12/2025,
90065,Yvan,Sy,yvan.sy65@gmail.com,9171234565,9/14/1993,31,78 EDSA,Pasay,Metro Manila,1304,Suspended,5/15/2025,
90066,Zara,Go,zara.go66@gmail.com,9171234566,4/4/1998,27,55 Katipunan Ave.,Quezon City,Metro Manila,1109,Active,5/18/2025,
90067,Aaron,Cruz,aaron.cruz67@gmail.com,9171234567,5/5/1995,29,21 Aurora Blvd.,Quezon City,Metro Manila,1110,Active,5/20/2025,
90068,Bella,Reyes,bella.reyes68@gmail.com,9171234568,2/2/2000,25,34 Rizal Ave.,Manila,Metro Manila,1007,Inactive,5/22/2025,
90069,Carlo,Santos,carlo.santos69@gmail.com,9171234569,7/7/1992,32,56 Ayala Ave.,Makati,Metro Manila,1204,Active,5/25/2025,
90070,Diana,Flores,diana.flores70@gmail.com,9171234570,3/3/1996,29,78 Shaw Blvd.,Mandaluyong,Metro Manila,1555,Active,5/28/2025,
90071,Edgar,Ramos,edgar.ramos71@gmail.com,9171234571,11/11/1991,34,90 C5 Road,Taguig,Metro Manila,1635,Active,6/1/2025,
90072,Fiona,Garcia,fiona.garcia72@gmail.com,9171234572,6/6/1999,26,12 Ortigas Ave.,Pasig,Metro Manila,1607,Inactive,6/5/2025,
90073,Glenn,Torres,glenn.torres73@gmail.com,9171234573,8/8/1993,31,45 Katipunan Ave.,Quezon City,Metro Manila,1111,Active,6/8/2025,
90074,Hazel,Mendoza,hazel.mendoza74@gmail.com,9171234574,10/10/1997,27,67 Taft Ave.,Manila,Metro Manila,1008,Active,6/10/2025,
90075,Ian,Diaz,ian.diaz75@gmail.com,9171234575,12/12/1994,30,89 Roxas Blvd.,Pasay,Metro Manila,1305,Suspended,6/12/2025,
90076,Julia,Navarro,julia.navarro76@gmail.com,9171234576,3/3/2001,24,23 Shaw Blvd.,Mandaluyong,Metro Manila,1556,Active,6/15/2025,
90077,Kevin,Castro,kevin.castro77@gmail.com,9171234577,7/7/1995,29,56 EDSA,Pasig,Metro Manila,1608,Active,6/18/2025,
90078,Leah,Bautista,leah.bautista78@gmail.com,9171234578,9/9/1998,26,78 Aurora Blvd.,Quezon City,Metro Manila,1112,Inactive,6/20/2025,
90079,Marco,Alvarez,marco.alvarez79@gmail.com,9171234579,1/1/1992,34,90 Rizal Ave.,Manila,Metro Manila,1009,Active,6/22/2025,
90080,Nina,Domingo,nina.domingo80@gmail.com,9171234580,5/5/1997,28,12 Taft Ave.,Pasay,Metro Manila,1306,Active,6/25/2025,
90081,Oscar,Salazar,oscar.salazar81@gmail.com,9171234581,2/2/1993,32,34 Shaw Blvd.,Mandaluyong,Metro Manila,1557,Active,6/28/2025,
90082,Paula,Velasco,paula.velasco82@gmail.com,9171234582,11/11/1999,25,56 Ortigas Ave.,Pasig,Metro Manila,1609,Inactive,7/1/2025,
90083,Ryan,Aguilar,ryan.aguilar83@gmail.com,9171234583,6/6/1994,30,78 Katipunan Ave.,Quezon City,Metro Manila,1113,Active,7/3/2025,
90084,Sofia,Herrera,sofia.herrera84@gmail.com,9171234584,4/4/2000,25,90 Rizal Ave.,Manila,Metro Manila,1010,Active,7/5/2025,
90085,Tristan,Lim,tristan.lim85@gmail.com,9171234585,8/8/1996,29,23 Ayala Ave.,Makati,Metro Manila,1205,Suspended,7/8/2025,
90086,Ursula,Tan,ursula.tan86@gmail.com,9171234586,12/12/1998,27,45 Shaw Blvd.,Mandaluyong,Metro Manila,1558,Active,7/10/2025,
90087,Victor,Ong,victor.ong87@gmail.com,9171234587,9/9/1991,34,67 Ortigas Ave.,Pasig,Metro Manila,1610,Active,7/12/2025,
90088,Wendy,Yu,wendy.yu88@gmail.com,9171234588,1/1/1997,29,89 Katipunan Ave.,Quezon City,Metro Manila,1114,Inactive,7/15/2025,
90089,Xavier,Co,xavier.co89@gmail.com,9171234589,3/3/1993,31,12 Rizal Ave.,Manila,Metro Manila,1011,Active,7/18/2025,
90090,Yvette,Chua,yvette.chua90@gmail.com,9171234590,5/5/1999,26,34 Taft Ave.,Pasay,Metro Manila,1307,Active,7/20/2025,
90091,Zed,Sy,zed.sy91@gmail.com,9171234591,10/10/1994,30,56 Shaw Blvd.,Mandaluyong,Metro Manila,1559,Active,7/22/2025,
90092,Alyssa,Cruz,alyssa.cruz92@gmail.com,9171234592,2/2/2001,24,78 Ortigas Ave.,Pasig,Metro Manila,1611,Inactive,7/25/2025,
90093,Brandon,Reyes,brandon.reyes93@gmail.com,9171234593,6/6/1995,29,90 Katipunan Ave.,Quezon City,Metro Manila,1115,Active,7/28/2025,
90094,Chloe,Santos,chloe.santos94@gmail.com,9171234594,8/8/1998,27,12 Rizal Ave.,Manila,Metro Manila,1012,Active,8/1/2025,
90095,Derek,Flores,derek.flores95@gmail.com,9171234595,12/12/1992,33,34 Ayala Ave.,Makati,Metro Manila,1206,Suspended,8/5/2025,
90096,Ella,Ramos,ella.ramos96@gmail.com,9171234596,4/4/1997,28,56 Shaw Blvd.,Mandaluyong,Metro Manila,1560,Active,8/8/2025,
90097,Felix,Garcia,felix.garcia97@gmail.com,9171234597,7/7/1993,31,78 Ortigas Ave.,Pasig,Metro Manila,1612,Active,8/10/2025,
90098,Gia,Torres,gia.torres98@gmail.com,9171234598,9/9/1999,26,90 Katipunan Ave.,Quezon City,Metro Manila,1116,Inactive,8/12/2025,
90099,Hugo,Mendoza,hugo.mendoza99@gmail.com,9171234599,1/1/1994,31,12 Rizal Ave.,Manila,Metro Manila,1013,Active,8/15/2025,
90100,Isla,Diaz,isla.diaz100@gmail.com,9171234600,3/3/2000,25,34 Ayala Ave.,Makati,Metro Manila,1207,Active,8/18/2025,
